sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
18,34444.000,4808771.833,688.784,215.230,211.103,207.955,0.987,0.984,0.912,126.000,578.000,1,[16],15756.000,1487759.590,466.759,145.602,142.772,140.522,0.982,0.984,0.909,0.360,0.000
19,63016.000,11899810.595,953.235,331.958,334.010,240.328,0.991,0.719,0.871,200.000,2484.000,2,"[17, 30]",15936.000,1513359.183,474.753,154.360,153.858,132.554,0.979,0.857,0.889,0.366,62.381
20,32356.000,4378204.473,669.269,211.178,205.719,200.315,0.987,0.973,0.908,156.000,3420.000,1,[18],15344.000,1429788.123,456.617,144.180,140.965,138.593,0.987,0.983,0.925,0.346,2.000
21,31664.000,4238502.714,659.127,208.403,204.036,197.641,0.990,0.968,0.916,172.000,860.000,1,[19],14812.000,1356077.016,450.960,140.982,137.861,136.808,0.984,0.992,0.915,0.328,0.000
22,32952.000,4499730.138,675.411,211.632,206.865,202.915,0.988,0.980,0.908,186.000,1404.000,1,[20],14888.000,1366527.389,450.960,141.662,139.078,136.306,0.985,0.980,0.920,0.331,0.000
23,34032.000,4722750.570,686.441,214.756,211.891,204.559,0.988,0.965,0.908,188.000,2238.000,1,[21],16028.000,1526450.765,467.446,147.526,144.797,140.944,0.987,0.973,0.922,0.369,0.000
24,33860.000,4686992.202,681.269,214.037,210.292,205.079,0.989,0.975,0.917,206.000,2746.000,1,[22],16144.000,1543051.864,468.617,147.851,145.392,141.399,0.987,0.972,0.924,0.373,0.000
25,34596.000,4840638.302,690.926,216.481,213.397,206.457,0.989,0.967,0.911,210.000,1620.000,1,[25],16224.000,1554535.724,469.103,147.648,144.407,143.058,0.987,0.991,0.926,0.376,2.000
26,29540.000,3819262.746,636.784,198.927,194.735,193.167,0.988,0.992,0.915,206.000,3224.000,1,[23],14912.000,1369833.058,452.132,141.662,138.783,136.816,0.984,0.986,0.917,0.332,2.000
27,30076.000,3923683.015,659.127,206.495,197.237,194.352,0.980,0.984,0.870,208.000,3768.000,1,[24],15392.000,1436502.487,456.617,144.180,141.118,138.886,0.987,0.984,0.928,0.348,2.000
28,32028.000,4311799.224,661.269,207.239,203.382,200.552,0.990,0.986,0.920,218.000,2034.000,1,[26],15604.000,1466282.707,461.103,145.602,142.672,139.255,0.985,0.976,0.922,0.355,0.000
29,30588.000,4024300.685,649.955,202.544,198.485,196.289,0.988,0.989,0.910,240.000,1828.000,1,[27],15256.000,1417505.721,455.446,143.388,140.484,138.279,0.987,0.984,0.924,0.343,2.000
30,61840.000,11568259.485,951.092,334.903,336.532,234.071,0.991,0.695,0.859,262.000,1138.000,2,"[28, 29]",15240.000,1415522.200,464.718,149.840,148.963,130.755,0.980,0.875,0.887,0.343,62.016
31,32988.000,4507106.073,674.926,209.246,205.627,204.338,0.988,0.993,0.910,270.000,250.000,1,[31],15428.000,1441545.138,459.446,143.736,140.894,139.424,0.985,0.990,0.918,0.349,2.000
32,62880.000,11861308.451,951.460,332.024,331.048,242.003,0.990,0.731,0.873,358.000,3602.000,2,"[32, 41]",16270.000,1562872.536,485.458,158.562,158.641,131.552,0.978,0.822,0.867,0.378,61.297
33,55104.000,9730574.642,897.436,318.729,320.081,219.306,0.990,0.685,0.860,378.000,514.000,2,"[34, 46]",14272.000,1282726.566,446.718,147.488,146.078,124.865,0.983,0.852,0.899,0.310,60.420
35,30196.000,3947189.031,644.784,201.693,197.963,194.244,0.988,0.981,0.913,334.000,3048.000,1,[35],15716.000,1482097.690,462.274,145.890,143.115,139.843,0.986,0.977,0.924,0.359,2.000
36,63452.000,12023523.972,963.294,343.639,347.395,232.768,0.991,0.669,0.859,412.000,750.000,2,"[36, 51]",15570.000,1462507.895,464.475,149.388,149.056,133.881,0.984,0.894,0.906,0.354,65.385
38,34380.000,4795375.375,693.754,215.870,211.426,207.082,0.987,0.979,0.898,394.000,3368.000,1,[38],15812.000,1495698.330,465.103,146.779,143.699,140.104,0.984,0.975,0.919,0.362,0.000
39,64772.000,12400658.882,965.720,338.142,339.383,243.119,0.991,0.716,0.873,414.000,1452.000,2,"[39, 44]",16046.000,1529602.141,479.339,154.982,154.324,133.143,0.975,0.858,0.878,0.370,61.671
40,33492.000,4610790.865,683.411,212.132,207.989,205.057,0.988,0.986,0.901,404.000,2134.000,1,[40],16316.000,1567777.203,471.931,147.959,145.199,143.079,0.985,0.985,0.921,0.379,2.000
41,29780.000,3865901.999,642.926,202.000,196.438,193.088,0.987,0.983,0.905,420.000,1926.000,1,[43],15204.000,1410264.558,454.274,144.139,140.781,137.510,0.987,0.977,0.926,0.341,2.828
42,31752.000,4256184.337,658.441,206.940,202.707,199.473,0.990,0.984,0.920,432.000,2350.000,1,[45],15212.000,1411377.778,455.446,142.394,139.563,138.787,0.985,0.994,0.922,0.342,2.828
43,29624.000,3835565.016,638.642,198.595,195.049,193.416,0.988,0.991,0.913,440.000,2574.000,1,[47],15548.000,1458396.449,461.103,144.471,141.597,139.816,0.984,0.987,0.919,0.353,0.000
44,31452.000,4196006.968,661.754,204.216,201.314,198.978,0.987,0.988,0.903,468.000,968.000,1,[48],14928.000,1372038.316,452.617,142.225,139.227,136.527,0.984,0.981,0.916,0.332,0.000
45,31060.000,4117806.903,653.269,204.519,201.777,196.030,0.989,0.971,0.915,470.000,3838.000,1,[49],15740.000,1485493.967,463.931,147.472,144.742,138.463,0.985,0.957,0.919,0.359,2.000
46,29428.000,3797562.423,635.813,201.693,197.428,189.848,0.989,0.961,0.915,474.000,298.000,1,[50],15152.000,1403035.768,455.446,145.066,142.215,135.665,0.985,0.954,0.918,0.340,0.000
47,33332.000,4577789.935,676.583,211.698,207.219,204.854,0.989,0.988,0.915,484.000,1716.000,1,[52],15712.000,1481531.896,462.274,146.820,144.113,138.820,0.987,0.963,0.924,0.359,0.000
48,31896.000,4285170.774,666.441,207.663,202.452,200.657,0.988,0.991,0.902,488.000,1174.000,1,[53],15420.000,1440424.040,459.446,144.180,141.285,138.972,0.985,0.984,0.918,0.349,2.828
49,33324.000,4576141.964,677.754,210.618,207.167,204.852,0.989,0.989,0.912,506.000,3194.000,1,[54],15920.000,1511048.470,465.103,146.492,143.168,141.583,0.986,0.989,0.925,0.366,0.000
51,60288.000,11135510.081,940.950,337.763,341.709,224.941,0.990,0.657,0.856,622.000,3580.000,2,"[56, 59]",15240.000,1415276.939,460.475,150.175,150.031,129.962,0.984,0.862,0.903,0.343,65.145
52,31572.000,4220043.634,661.754,207.239,202.315,198.801,0.987,0.982,0.906,616.000,144.000,1,[57],15436.000,1442666.526,459.931,145.671,142.626,137.811,0.984,0.966,0.917,0.349,0.000
53,30804.000,4067002.809,654.441,204.949,199.834,196.354,0.987,0.982,0.904,620.000,1958.000,1,[58],15224.000,1413048.158,456.617,143.388,140.636,137.842,0.985,0.980,0.918,0.342,2.000
54,30744.000,4055126.041,651.612,201.445,198.354,197.361,0.988,0.995,0.910,634.000,1544.000,1,[60],15336.000,1428670.082,456.617,144.139,141.205,138.292,0.986,0.979,0.924,0.346,0.000
55,34804.000,4884358.586,694.441,217.117,212.100,209.024,0.988,0.985,0.907,646.000,2588.000,1,[61],16708.000,1624615.155,478.759,149.693,146.452,145.273,0.984,0.992,0.916,0.393,2.828
56,34892.000,4902895.039,694.441,217.816,211.725,209.890,0.989,0.991,0.909,654.000,412.000,1,[63],16152.000,1544198.973,467.446,147.648,143.878,142.940,0.988,0.993,0.929,0.374,2.000
57,61876.000,11578362.605,947.578,327.915,328.325,240.067,0.990,0.731,0.866,706.000,1306.000,2,"[62, 72]",15784.000,1491729.499,470.718,157.979,158.014,128.016,0.984,0.805,0.895,0.361,60.828
58,32560.000,4419675.609,666.441,209.418,205.629,201.653,0.990,0.980,0.921,666.000,1054.000,1,[64],15472.000,1447716.371,459.446,144.997,142.075,138.661,0.985,0.976,0.921,0.350,2.000
