cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
19,16224.000,1554535.724,470.274,147.526,144.522,142.934,0.986,0.989,0.922,156.000,180.000,0.476,2.000,18
20,27604.000,3450021.713,620.014,196.469,195.311,180.740,0.988,0.921,0.902,168.000,952.000,0.325,53.852,16
21,15580.000,1462901.146,460.617,145.121,142.014,139.691,0.986,0.984,0.923,160.000,400.000,0.479,2.000,19
23,15596.000,1465155.231,464.132,152.315,151.388,131.615,0.986,0.866,0.910,204.000,804.000,0.183,98.489,16
24,16160.000,1545346.365,469.588,147.092,143.934,142.955,0.986,0.993,0.921,218.000,1418.000,0.492,2.000,21
25,15316.000,1425876.255,458.274,148.647,145.658,133.915,0.985,0.919,0.916,228.000,3504.000,0.515,0.000,22
26,15532.000,1456145.837,461.789,145.836,142.381,138.915,0.984,0.976,0.915,242.000,3048.000,0.498,2.000,23
27,14968.000,1377556.632,449.789,142.352,139.430,136.686,0.987,0.980,0.930,254.000,2258.000,0.495,0.000,24
28,15868.000,1503651.140,466.274,146.997,143.841,140.463,0.985,0.976,0.917,272.000,582.000,0.493,0.000,25
29,15540.000,1457270.998,459.446,144.180,141.197,140.146,0.986,0.992,0.925,276.000,2604.000,0.502,2.000,26
30,15112.000,1397483.592,452.132,143.611,141.113,136.369,0.987,0.966,0.929,276.000,2048.000,0.477,0.000,27
31,15940.000,1513896.817,466.274,146.711,143.852,141.103,0.986,0.981,0.921,294.000,1166.000,0.467,2.000,29
32,16544.000,1600753.951,474.759,149.466,146.419,143.867,0.987,0.983,0.922,300.000,3252.000,0.476,2.000,30
33,16460.000,1588578.010,474.274,149.466,146.736,142.826,0.986,0.973,0.920,320.000,3700.000,0.480,2.828,31
35,16132.000,1541331.735,469.103,147.092,144.023,142.618,0.985,0.990,0.921,352.000,316.000,0.494,2.000,33
36,6368.000,382268.386,295.078,94.340,91.238,88.884,0.975,0.974,0.919,416.000,468.000,0.538,2.828,37
37,16276.000,1562015.439,471.931,149.372,146.169,141.781,0.986,0.970,0.918,426.000,940.000,0.465,2.000,34
38,16188.000,1549364.475,470.274,147.092,144.246,142.905,0.985,0.991,0.920,432.000,722.000,0.472,2.000,35
40,16328.000,1569507.111,471.931,148.499,144.841,143.539,0.986,0.991,0.921,438.000,2920.000,0.493,2.000,36
41,16152.000,1544198.973,469.588,146.711,143.812,143.006,0.986,0.994,0.920,452.000,1560.000,0.477,2.000,38
42,16656.000,1617036.670,474.759,149.907,146.778,144.485,0.988,0.984,0.929,480.000,1864.000,0.487,2.000,40
43,16660.000,1617619.211,474.274,150.586,147.226,144.091,0.989,0.979,0.931,482.000,2116.000,0.501,0.000,41
44,16284.000,1563167.226,471.931,149.050,146.430,141.601,0.987,0.967,0.919,478.000,2608.000,0.507,0.000,42
46,20544.000,2215089.660,673.754,207.711,209.499,134.278,0.918,0.596,0.569,470.000,1308.000,0.494,5.657,39
47,15848.000,1500809.237,465.103,147.851,144.162,140.035,0.985,0.971,0.921,498.000,3564.000,0.530,0.000,44
48,15932.000,1512757.263,465.103,146.820,143.785,141.093,0.987,0.981,0.926,510.000,3208.000,0.480,0.000,45
50,16328.000,1569507.111,471.931,148.647,145.469,142.917,0.985,0.982,0.921,562.000,552.000,0.479,0.000,47
51,16588.000,1607144.181,475.931,153.114,150.106,140.732,0.986,0.937,0.920,600.000,2422.000,0.476,8.944,48
52,16540.000,1600173.442,475.931,149.626,146.748,143.521,0.986,0.978,0.918,626.000,3732.000,0.490,2.000,49
53,15712.000,1481531.896,463.931,148.405,146.233,136.819,0.985,0.936,0.917,632.000,978.000,0.524,0.000,50
54,16408.000,1581056.068,480.701,154.984,155.086,135.537,0.981,0.869,0.892,638.000,1454.000,0.252,66.603,51
55,17620.000,1759432.688,490.759,153.844,150.793,148.782,0.986,0.987,0.919,680.000,3452.000,0.491,2.000,54
57,16084.000,1534457.615,467.446,147.078,143.949,142.277,0.987,0.988,0.925,710.000,264.000,0.528,2.000,56
58,16540.000,1600173.442,473.588,148.930,145.816,144.432,0.987,0.990,0.927,718.000,2872.000,0.504,2.000,57
60,17960.000,1810603.263,590.725,205.222,197.707,124.131,0.908,0.585,0.647,724.000,1354.000,0.276,65.299,51
61,16332.000,1570083.889,471.446,148.189,145.620,142.814,0.987,0.981,0.923,740.000,1776.000,0.489,0.000,58
62,16184.000,1548790.246,471.931,148.297,145.560,141.567,0.985,0.973,0.913,760.000,3076.000,0.489,0.000,62
63,16548.000,1601334.530,474.759,151.169,147.275,143.071,0.987,0.971,0.923,766.000,1986.000,0.484,2.000,63
64,16008.000,1523594.561,467.446,146.328,142.825,142.726,0.986,0.999,0.921,770.000,1138.000,0.463,0.000,64
65,4620.000,236225.493,248.451,81.437,79.480,74.041,0.979,0.931,0.941,812.000,152.000,0.529,2.000,67
66,17028.000,1671511.091,481.588,151.605,149.251,145.268,0.987,0.973,0.923,848.000,2184.000,0.493,2.000,65
67,16332.000,1570083.889,473.588,147.648,144.776,143.641,0.985,0.992,0.915,850.000,3276.000,0.469,2.000,66
68,16520.000,1597271.949,474.759,151.605,148.579,141.590,0.986,0.953,0.921,854.000,2640.000,0.491,2.000,68
69,16088.000,1535030.067,469.103,149.586,146.437,139.893,0.985,0.955,0.919,858.000,2430.000,0.527,2.000,69
70,16300.000,1565471.649,478.475,156.525,156.401,133.182,0.981,0.848,0.895,864.000,750.000,0.271,60.531,70
71,16604.000,1609470.005,477.588,149.466,146.443,144.371,0.984,0.986,0.915,870.000,3844.000,0.496,2.000,71
72,15496.000,1451086.200,463.647,149.412,147.825,134.011,0.983,0.903,0.906,878.000,876.000,0.258,66.272,70
73,15812.000,1495698.330,466.759,146.328,143.450,140.356,0.984,0.978,0.912,878.000,1616.000,0.499,2.000,72
74,16180.000,1548216.089,470.274,147.201,144.386,142.705,0.985,0.988,0.919,892.000,3624.000,0.508,0.000,73
77,12108.000,1002241.585,405.505,128.701,125.066,123.306,0.984,0.986,0.925,944.000,264.000,0.347,20.100,75
78,15780.000,1491160.183,463.931,145.602,142.931,140.577,0.986,0.983,0.921,952.000,500.000,0.502,0.000,77
79,16348.000,1572391.704,471.931,148.647,145.486,143.076,0.986,0.983,0.922,966.000,3026.000,0.483,0.000,79
80,15816.000,1496265.922,467.245,152.315,150.095,134.177,0.984,0.894,0.910,1034.000,3460.000,0.527,0.000,80
81,16636.000,1614125.014,476.416,149.693,146.317,144.770,0.986,0.989,0.921,1050.000,1310.000,0.493,0.000,81
82,16928.000,1656808.354,481.588,150.864,147.724,145.913,0.985,0.988,0.917,1064.000,2406.000,0.473,0.000,82
83,16636.000,1614125.014,477.103,149.466,146.702,144.391,0.986,0.984,0.918,1070.000,1524.000,0.485,0.000,83
85,17636.000,1761829.735,489.588,154.260,150.956,148.754,0.988,0.985,0.925,1090.000,1890.000,0.476,0.000,85
86,17296.000,1711127.280,485.588,152.118,148.804,148.011,0.986,0.995,0.922,1094.000,850.000,0.503,0.000,87
87,16552.000,1601915.180,475.931,148.647,145.695,144.657,0.985,0.993,0.918,1090.000,2150.000,0.482,0.000,86
88,16460.000,1588578.010,473.103,148.930,145.591,143.956,0.986,0.989,0.924,1106.000,3684.000,0.458,2.000,88
89,14752.000,1347845.633,450.274,141.549,138.714,135.417,0.983,0.976,0.914,1114.000,1060.000,0.470,2.000,89
90,16176.000,1547642.002,469.103,149.251,146.589,140.504,0.987,0.958,0.924,1122.000,2886.000,0.521,2.000,90
91,16240.000,1556835.900,470.759,147.851,144.837,142.771,0.986,0.986,0.921,1128.000,330.000,0.505,2.000,91
92,16756.000,1631621.156,478.759,149.693,146.598,145.533,0.986,0.993,0.919,1146.000,3242.000,0.483,0.000,92
93,17576.000,1752846.421,489.103,153.701,150.641,148.588,0.987,0.986,0.923,1198.000,2654.000,0.515,0.000,93
94,16940.000,1658570.396,481.103,150.373,147.428,146.303,0.986,0.992,0.920,1220.000,672.000,0.480,0.000,94
95,17652.000,1764227.870,491.245,153.805,150.479,149.371,0.986,0.993,0.919,1246.000,3504.000,0.480,2.000,96
96,16244.000,1557411.121,475.529,156.064,156.678,133.289,0.986,0.843,0.903,1272.000,1592.000,0.258,62.290,97
97,16524.000,1597852.107,475.931,148.930,146.131,143.979,0.984,0.985,0.917,1274.000,3814.000,0.501,2.000,98
98,8436.000,582865.912,339.563,109.417,106.206,101.208,0.980,0.952,0.919,1276.000,1344.000,0.445,2.828,100
99,15704.000,1480400.524,462.759,145.066,141.656,141.153,0.985,0.996,0.922,1292.000,1158.000,0.490,0.000,99
100,15620.000,1468538.527,461.789,149.693,147.347,135.050,0.987,0.916,0.920,1320.000,2290.000,0.507,2.000,101
102,15628.000,1469666.870,462.759,145.986,143.209,138.951,0.984,0.970,0.917,1346.000,2852.000,0.504,2.000,103
103,16780.000,1635127.923,478.274,151.288,147.752,144.616,0.986,0.979,0.922,1364.000,1788.000,0.477,2.000,104
104,15372.000,1433703.561,457.789,143.388,140.392,139.440,0.985,0.993,0.922,1366.000,892.000,0.523,2.000,108
105,16892.000,1651525.978,486.357,158.518,159.318,135.875,0.983,0.847,0.897,1364.000,1508.000,0.268,62.290,97
106,16632.000,1613542.893,477.588,150.479,147.361,143.712,0.985,0.975,0.916,1368.000,2058.000,0.494,0.000,105
107,16012.000,1524165.659,470.274,146.820,144.223,141.374,0.983,0.980,0.910,1370.000,3058.000,0.495,2.000,107
108,16128.000,1540758.500,470.759,146.820,143.589,143.017,0.983,0.996,0.915,1372.000,362.000,0.475,0.000,106
109,17036.000,1672689.179,482.759,152.118,148.592,145.985,0.985,0.982,0.919,1424.000,3264.000,0.481,2.000,109
110,15788.000,1492294.289,465.103,145.836,142.574,141.010,0.985,0.989,0.917,1436.000,566.000,0.466,0.000,110
111,15532.000,1456145.837,458.274,145.121,142.104,139.175,0.988,0.979,0.929,1458.000,3472.000,0.509,0.000,113
112,15840.000,1499672.978,466.274,145.231,142.524,141.516,0.985,0.993,0.916,1460.000,1316.000,0.498,2.000,112
113,16892.000,1651525.978,481.103,150.053,147.398,145.923,0.985,0.990,0.917,1460.000,3682.000,0.456,0.000,111
114,16668.000,1618784.502,477.103,148.930,146.072,145.294,0.986,0.995,0.920,1472.000,2504.000,0.491,0.000,114
115,16064.000,1531596.423,467.446,146.860,143.551,142.499,0.986,0.993,0.924,1508.000,2712.000,0.486,0.000,115
116,14908.000,1369281.928,467.931,151.010,153.142,126.150,0.968,0.809,0.856,1538.000,788.000,0.332,39.395,117
117,17092.000,1680943.540,483.245,152.118,148.672,146.380,0.986,0.985,0.920,1538.000,3888.000,0.475,2.828,116
118,15144.000,1401924.746,453.789,144.180,140.578,137.197,0.985,0.976,0.924,1546.000,1126.000,0.528,0.000,119
119,16884.000,1650352.880,478.759,152.315,148.746,144.530,0.987,0.972,0.926,1556.000,244.000,0.469,0.000,118
120,15152.000,1403035.768,453.789,143.178,139.907,137.900,0.986,0.986,0.925,1554.000,2308.000,0.472,0.000,120
121,16716.000,1625782.124,478.759,155.859,154.135,138.162,0.986,0.896,0.916,1576.000,2986.000,0.515,0.000,121
122,16176.000,1547642.002,470.759,146.860,144.026,143.011,0.986,0.993,0.917,1588.000,1946.000,0.509,0.000,122
123,9160.000,659488.172,384.475,125.873,112.540,104.847,0.951,0.921,0.779,1580.000,690.000,0.204,67.231,117
125,15372.000,1433703.561,461.103,148.930,148.181,132.422,0.984,0.891,0.909,1662.000,3464.000,0.257,65.605,126
126,16748.000,1630452.791,479.245,149.933,147.228,144.844,0.984,0.984,0.916,1668.000,952.000,0.467,2.828,124
127,15876.000,1504788.403,469.304,152.801,152.066,133.408,0.986,0.874,0.906,1678.000,428.000,0.257,65.115,128
128,16836.000,1643320.133,480.416,150.360,147.602,145.233,0.985,0.984,0.917,1674.000,1292.000,0.476,0.000,125
129,15496.000,1451086.200,460.617,145.890,142.349,138.612,0.984,0.974,0.918,1672.000,3674.000,0.492,2.000,127
130,17120.000,1685075.797,493.588,164.195,163.657,133.924,0.980,0.814,0.883,1708.000,2120.000,0.273,60.828,129
131,15924.000,1511617.996,473.304,153.805,153.954,132.460,0.982,0.855,0.893,1698.000,554.000,0.257,62.514,128
132,16592.000,1607725.532,475.446,148.930,145.795,144.918,0.986,0.994,0.922,1716.000,1634.000,0.495,2.000,130
133,15860.000,1502514.164,466.274,148.189,144.531,139.736,0.984,0.967,0.917,1716.000,3162.000,0.496,2.000,131
134,16180.000,1548216.089,469.103,147.078,144.074,142.990,0.985,0.992,0.924,1720.000,2722.000,0.478,0.000,132
135,15964.000,1517317.193,473.872,153.701,154.108,133.026,0.985,0.856,0.893,1738.000,3366.000,0.267,58.412,126
136,16624.000,1612378.860,486.759,161.208,160.078,133.106,0.979,0.826,0.882,1764.000,2232.000,0.265,64.405,129
137,16284.000,1563167.226,470.759,148.661,145.903,142.117,0.987,0.974,0.923,1768.000,1836.000,0.505,2.000,133
139,16860.000,1646835.255,480.416,151.327,148.475,144.591,0.986,0.974,0.918,1772.000,2454.000,0.504,2.000,134
140,16560.000,1603076.689,476.416,149.466,146.404,144.024,0.985,0.984,0.917,1804.000,2970.000,0.468,0.000,136
141,16752.000,1631036.939,478.759,150.266,147.769,144.349,0.985,0.977,0.918,1824.000,3822.000,0.467,2.000,137
143,16044.000,1528737.012,473.990,153.844,152.943,134.798,0.984,0.873,0.897,1862.000,1394.000,0.275,54.918,139
144,16736.000,1628700.768,478.759,149.466,146.772,145.192,0.985,0.989,0.918,1876.000,870.000,0.483,0.000,140
145,11448.000,921421.266,403.848,136.528,127.383,115.659,0.980,0.898,0.882,1886.000,1516.000,0.197,69.426,139
146,16180.000,1548216.089,474.475,153.114,153.536,135.032,0.986,0.874,0.903,1890.000,376.000,0.242,67.082,141
147,16376.000,1576433.099,474.274,147.851,145.164,143.656,0.985,0.989,0.915,1924.000,1150.000,0.481,2.000,143
148,16588.000,1607144.181,477.588,148.930,146.015,144.651,0.984,0.991,0.914,1924.000,2790.000,0.475,2.828,142
150,16316.000,1567777.203,473.103,148.647,145.812,142.487,0.984,0.977,0.916,1950.000,3238.000,0.504,2.000,144
151,15720.000,1482663.556,463.931,149.466,146.011,137.092,0.984,0.939,0.918,1952.000,3656.000,0.506,2.000,145
152,15688.000,1478138.644,465.103,147.648,144.469,138.274,0.984,0.957,0.911,1970.000,1866.000,0.518,0.000,146
154,17136.000,1687438.605,485.103,156.179,155.280,140.758,0.987,0.905,0.915,1984.000,2510.000,0.253,65.970,148
155,15200.000,1409708.058,454.274,143.388,140.527,137.719,0.987,0.980,0.926,1998.000,580.000,0.476,2.000,149
156,16292.000,1564319.296,473.588,150.053,146.977,141.169,0.984,0.960,0.913,2016.000,3440.000,0.491,2.828,150
157,4348.000,215674.154,241.137,78.000,75.235,73.588,0.976,0.978,0.940,2016.000,1580.000,0.556,2.000,153
158,16052.000,1529880.563,469.789,151.855,150.186,136.248,0.986,0.906,0.914,2028.000,350.000,0.240,73.348,141
159,15368.000,1433143.994,458.274,147.851,144.561,135.392,0.985,0.936,0.920,2042.000,2298.000,0.490,2.828,152
160,6052.000,354170.333,286.593,96.208,93.719,82.298,0.979,0.877,0.926,2052.000,2704.000,0.585,2.828,157
161,16028.000,1526450.765,470.274,149.893,147.230,138.683,0.983,0.941,0.911,2068.000,3058.000,0.514,2.000,155
162,16752.000,1631036.939,478.759,150.360,147.215,144.902,0.985,0.984,0.918,2088.000,2036.000,0.498,0.000,156
163,15260.000,1418063.245,455.446,143.388,140.558,138.233,0.986,0.983,0.924,2108.000,754.000,0.471,4.472,158
164,16524.000,1597852.107,486.960,158.808,160.021,133.291,0.984,0.822,0.876,2112.000,2544.000,0.244,66.483,148
165,16580.000,1605981.690,475.931,148.930,145.696,144.896,0.985,0.994,0.920,2128.000,1424.000,0.483,2.828,159
166,17596.000,1755839.158,491.245,153.883,150.983,148.391,0.985,0.983,0.916,2142.000,1086.000,0.501,0.000,160
167,16096.000,1536175.185,469.588,146.820,143.404,142.921,0.984,0.997,0.917,2148.000,3844.000,0.484,2.000,161
168,15936.000,1513327.004,473.304,156.780,154.764,131.720,0.983,0.847,0.894,2148.000,3596.000,0.274,60.000,162
169,17344.000,1718255.321,486.759,152.643,150.156,147.076,0.987,0.979,0.920,2168.000,1692.000,0.490,2.000,164
170,8436.000,582865.912,340.049,110.218,107.506,99.945,0.978,0.929,0.917,2172.000,1252.000,0.612,6.000,165
171,16356.000,1573546.035,471.931,148.647,145.600,143.049,0.986,0.982,0.923,2204.000,2750.000,0.490,2.000,166
172,16548.000,1601334.530,474.274,148.930,145.981,144.335,0.986,0.989,0.924,2240.000,3178.000,0.472,2.000,167
173,14904.000,1368730.872,450.960,145.231,142.502,133.195,0.985,0.934,0.921,2240.000,3382.000,0.512,0.000,168
174,14800.000,1354429.403,448.617,141.873,139.051,135.520,0.986,0.975,0.924,2254.000,2254.000,0.477,2.000,169
175,15556.000,1459522.189,466.274,158.152,154.233,128.605,0.983,0.833,0.899,2266.000,2982.000,0.597,2.000,172
176,16168.000,1546494.041,469.103,148.432,144.827,142.149,0.986,0.981,0.923,2262.000,904.000,0.472,4.000,170
177,14660.000,1335256.669,452.818,147.959,147.311,127.310,0.981,0.860,0.898,2270.000,3596.000,0.252,62.000,162
178,16632.000,1613542.893,475.931,150.586,148.293,142.809,0.987,0.963,0.923,2276.000,222.000,0.480,0.000,171
179,16012.000,1524165.659,466.274,147.648,144.853,140.753,0.987,0.972,0.925,2284.000,1968.000,0.512,2.000,173
180,15880.000,1505357.142,463.446,146.711,143.304,141.100,0.987,0.985,0.929,2352.000,1104.000,0.486,0.000,175
181,16260.000,1559712.713,470.274,149.265,146.852,140.982,0.987,0.960,0.924,2352.000,3782.000,0.485,2.000,174
