sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
13,846992.652,586385556.275,3558.872,1276.951,1284.358,841.011,0.990,0.654,0.840,745.418,3056.966,2,"[15, 22]",223171.792,79318056.548,1765.669,574.045,569.375,501.318,0.983,0.877,0.899,0.135,246.640
14,389877.408,183128485.866,2318.374,730.398,717.393,692.085,0.988,0.965,0.912,745.418,5413.690,1,[16],218834.782,77008439.885,1727.865,550.115,536.403,519.622,0.985,0.968,0.921,0.421,7.529
15,446230.198,224234398.872,2485.093,772.606,756.810,750.847,0.988,0.992,0.908,768.006,6505.464,1,[18],226771.794,81235780.057,1759.810,554.171,544.807,530.054,0.986,0.973,0.920,0.362,7.529
16,406318.363,194833429.348,2423.787,759.320,736.970,702.421,0.984,0.953,0.869,737.888,8222.183,1,[17],217190.686,76142230.718,1719.044,550.115,537.478,514.691,0.986,0.957,0.924,0.391,0.000
17,475427.067,246598059.740,2573.620,802.693,787.123,769.399,0.988,0.977,0.902,843.301,760.477,1,[19],228472.583,82151394.014,1772.285,550.888,540.057,538.690,0.983,0.997,0.914,0.333,0.000
18,457001.859,232402475.539,2519.622,788.009,778.021,748.170,0.988,0.961,0.905,858.360,7454.177,1,[20],228189.118,81998554.236,1766.047,555.193,544.178,533.914,0.985,0.981,0.919,0.353,7.529
19,450312.091,227318201.810,2498.325,787.181,774.962,740.102,0.988,0.955,0.907,865.889,9682.901,1,[21],237770.226,87216771.684,1800.576,570.503,556.681,543.922,0.986,0.977,0.922,0.384,0.000
20,439256.966,218998825.732,2440.673,776.120,754.139,742.021,0.990,0.983,0.927,865.889,4065.915,1,[23],223143.446,79293940.893,1744.751,549.703,537.472,528.664,0.985,0.984,0.921,0.362,7.529
21,456718.394,232186280.495,2515.211,779.909,763.326,761.906,0.987,0.998,0.907,1121.891,2093.193,1,[24],227792.267,81784737.995,1759.810,553.711,543.387,533.807,0.987,0.982,0.924,0.352,0.000
22,433474.285,214688513.333,2440.673,771.578,750.463,735.754,0.989,0.980,0.914,1152.009,4788.744,1,[25],222576.516,78991945.637,1740.340,544.886,534.257,530.478,0.986,0.993,0.923,0.368,0.000
